Condition	Gene1	Gene2	PCC_all	PCC_L1out	dPCC	Pval
AML	PDK3	SLC27A2	0.366	0.258	0.108	0.000
AML	PDK3	TMTC2	0.298	0.194	0.104	0.001
AML	PDK3	TRIM9	0.300	0.199	0.102	0.000
AML	PREX1	RLN2	0.285	0.167	0.118	0.000
AML	RHOD	STMN3	0.278	0.141	0.137	0.002
AML	RLN2	STK17B	0.311	0.186	0.125	0.000
AML	RUNX1	ZFPM1	0.253	0.137	0.117	0.000
AML	RUNX2	STK17B	0.312	0.207	0.106	0.000
AML	SPI1	ZEB2	0.260	0.044	0.216	0.000
AP2M1_LOF	ADTRP	UBE2U	0.273	0.140	0.133	0.000
APC_LOF	ABCB6	PDIA4	0.261	0.146	0.116	0.002
APC_LOF	ACOX3	APOO	0.254	0.090	0.164	0.000
APC_LOF	ACOX3	PORCN	0.249	0.133	0.116	0.001
APC_LOF	ADGRL4	APOO	0.248	0.082	0.166	0.000
APC_LOF	AKIP1	ZNF69	0.279	0.131	0.148	0.000
APC_LOF	AZU1	MUC17	0.266	0.157	0.109	0.002
APC_LOF	C16orf91	CA7	0.251	0.145	0.106	0.001
APC_LOF	C16orf91	GPR35	0.281	0.159	0.122	0.000
APC_LOF	C16orf91	GSDMB	0.293	0.193	0.100	0.001
APC_LOF	C17orf97	CEP104	0.264	0.157	0.107	0.002
APC_LOF	C9orf50	HID1	0.257	0.125	0.132	0.000
APC_LOF	CAPN2	EMB	0.248	0.072	0.176	0.001
APC_LOF	CAPN2	PIP5K1B	0.251	0.022	0.230	0.000
APC_LOF	CASTOR1	SPHK1	0.258	0.102	0.156	0.002
APC_LOF	CDX2	SATB2	0.277	0.144	0.133	0.000
APC_LOF	CEP104	PIK3R3	0.261	0.132	0.129	0.001
APC_LOF	CTNNB1	KLF5	0.268	0.165	0.103	0.000
APC_LOF	CTNNB1	SATB2	0.364	0.239	0.125	0.000
APC_LOF	CTNNB1	TCF7L2	0.664	0.564	0.100	0.000
APC_LOF	FUOM	SPHK1	0.265	0.130	0.134	0.000
APC_LOF	FUT5	TMEM132A	0.263	0.112	0.151	0.002
APC_LOF	GIGYF1	MEST	0.249	0.148	0.101	0.002
APC_LOF	GPR35	SNX22	0.249	0.144	0.106	0.000
APC_LOF	GRIK4	INMT	0.293	0.161	0.132	0.000
APC_LOF	IDH2	MT3	0.255	0.125	0.130	0.000
APC_LOF	ITPRID1	MAMDC4	0.282	0.142	0.140	0.002
APC_LOF	KIAA0586	SPHK1	0.292	0.188	0.104	0.001
APC_LOF	KIF16B	KNG1	0.257	0.152	0.105	0.000
APC_LOF	KLLN	ZFP57	0.257	0.157	0.100	0.000
APC_LOF	MAMDC4	SCGB3A1	0.278	0.160	0.118	0.001
APC_LOF	MAMDC4	TBC1D24	0.274	0.174	0.100	0.002
APC_LOF	MARCHF6	TMEM245	0.258	0.134	0.124	0.000
APC_LOF	MEST	TWF2	0.249	0.146	0.104	0.002
APC_LOF	MT3	ZNF845	0.323	0.218	0.105	0.000
APC_LOF	OAS3	QPCT	0.254	0.117	0.137	0.002
APC_LOF	OR8B3	ST13	0.276	0.172	0.103	0.001
APC_LOF	PIP5K1B	TAAR1	0.276	0.134	0.142	0.002
APC_LOF	PLD1	TMEM240	0.260	0.160	0.100	0.000
APC_LOF	PRR5	TNFSF11	0.269	0.120	0.149	0.001
APC_LOF	RABL6	SPHK1	0.266	0.162	0.104	0.000
APC_LOF	SATB2	TCF7L2	0.259	0.123	0.136	0.000
APC_LOF	SCARF1	SPHK1	0.253	0.135	0.118	0.000
APC_LOF	SPHK1	STAG3	0.266	0.147	0.119	0.001
ARID1A_LOF	ARID1A	ARID1B	0.160	0.340	-0.180	0.000
ARID1A_LOF	ARID1B	SMARCC1	0.189	0.321	-0.132	0.000
ARID1A_LOF	MECOM	PAX8	0.364	0.236	0.128	0.000
ARID1A_LOF	RPL22L1	WRN	0.282	0.167	0.115	0.000
ARMC4_LOF	CCDC50	TAFA5	0.249	0.132	0.117	0.000
ARMC4_LOF	DDC	TAFA5	0.298	0.183	0.115	0.000
ARMC4_LOF	HOXB7	LCK	0.262	0.143	0.119	0.000
ARMC4_LOF	LCK	SPHK1	0.291	0.162	0.129	0.001
ASXL1_LOF	ABL1	BCR	0.602	0.492	0.111	0.000
ASXL1_LOF	ABL1	GAB2	0.313	0.198	0.115	0.000
ASXL1_LOF	ABL1	STAT5B	0.405	0.260	0.145	0.000
ASXL1_LOF	ABLIM1	IL18	0.356	0.253	0.103	0.001
ASXL1_LOF	ABLIM1	SAR1B	0.370	0.265	0.105	0.000
ASXL1_LOF	AGL	CRABP2	0.256	0.152	0.104	0.000
ASXL1_LOF	ANGPTL6	QRFPR	0.271	0.165	0.106	0.000
ASXL1_LOF	BCR	GAB2	0.365	0.221	0.144	0.000
ASXL1_LOF	BCR	SOS1	0.373	0.269	0.104	0.000
ASXL1_LOF	BCR	STAT5B	0.487	0.338	0.149	0.000
ASXL1_LOF	C2orf76	RUNX2	0.279	0.177	0.102	0.001
ASXL1_LOF	CIBAR1	H4C7	0.266	0.142	0.124	0.000
ASXL1_LOF	CNOT6	MT3	0.280	0.167	0.113	0.000
ASXL1_LOF	CNOT6	NWD2	0.262	0.154	0.107	0.001
ASXL1_LOF	CNOT6	OR52W1	0.285	0.159	0.126	0.000
ASXL1_LOF	DLX1	MT3	0.274	0.174	0.100	0.000
ASXL1_LOF	FBXO36	SH3BGRL	0.273	0.172	0.102	0.000
ASXL1_LOF	GAB2	STAT5B	0.361	0.258	0.103	0.000
ASXL1_LOF	GPR87	TAS2R43	0.317	0.193	0.124	0.000
ASXL1_LOF	GSE1	MT3	0.265	0.143	0.123	0.000
ASXL1_LOF	KCNQ2	STMN3	0.269	0.168	0.101	0.001
ASXL1_LOF	MT3	PRDM6	0.294	0.191	0.104	0.000
ASXL1_LOF	NWD2	OR52W1	0.345	0.227	0.118	0.000
ASXL1_LOF	OR52W1	P2RY12	0.321	0.203	0.118	0.000
ASXL1_LOF	PHKB	TAS2R43	0.272	0.169	0.103	0.000
ASXL1_LOF	RHOD	STMN3	0.278	0.143	0.134	0.001
ASXL1_LOF	SETD7	STMN3	0.251	0.150	0.101	0.001
ASXL1_LOF	SLC6A3	TBC1D1	0.285	0.172	0.113	0.001
ATM_LOF	ABCB6	SMIM29	0.275	0.136	0.139	0.000
ATM_LOF	ABCB6	SPHK1	0.258	0.147	0.111	0.002
ATM_LOF	CAPN2	PIP5K1B	0.251	0.032	0.220	0.001
ATM_LOF	CCDC14	GALNT7	0.254	0.104	0.150	0.002
ATM_LOF	IGIP	MUC17	0.279	0.148	0.130	0.002
ATM_LOF	ITPRID1	MUC17	0.290	0.138	0.152	0.001
ATM_LOF	MTF2	RBM38	0.259	0.149	0.110	0.000
ATM_LOF	MUC17	SCGB3A1	0.248	0.124	0.124	0.002
ATM_LOF	OR8B3	TNFSF11	0.273	0.062	0.211	0.001
ATM_LOF	PIK3R3	TACSTD2	0.256	0.156	0.100	0.002
ATM_LOF	SMIM29	ZNF79	0.280	0.175	0.105	0.000
ATP2B1_LOF	EXTL2	TMEM99	0.264	0.163	0.101	0.002
ATP9B_LOF	BATF	DOCK2	0.283	0.173	0.110	0.000
ATP9B_LOF	DOCK2	RBPJ	0.248	0.129	0.119	0.000
BCOR_LOF	AKIP1	GSTK1	0.268	0.161	0.107	0.000
BCOR_LOF	CELF2	LCK	0.256	0.134	0.122	0.000
BRAF_GOF	AHR	MITF	0.251	0.119	0.132	0.000
BRAF_GOF	BRAF	CRTC3	0.251	0.022	0.229	0.000
BRAF_GOF	BRAF	DUSP4	0.477	-0.003	0.480	0.000
BRAF_GOF	BRAF	MAP2K2	0.317	0.168	0.149	0.000
BRAF_GOF	BRAF	MAPK1	0.664	0.416	0.247	0.000
BRAF_GOF	BRAF	MITF	0.438	0.139	0.299	0.000
BRAF_GOF	BRAF	NFATC2	0.294	0.016	0.277	0.000
BRAF_GOF	BRAF	NRAS	0.139	0.263	-0.125	0.000
BRAF_GOF	BRAF	PEA15	0.367	0.034	0.333	0.000
BRAF_GOF	BRAF	PPP2R2A	0.267	0.003	0.265	0.000
BRAF_GOF	BRAF	RAF1	0.124	0.487	-0.363	0.000
BRAF_GOF	BRAF	SHOC2	0.010	0.408	-0.399	0.000
BRAF_GOF	BRAF	SOX10	0.591	0.173	0.417	0.000
BRAF_GOF	BRAF	SOX9	0.367	0.155	0.212	0.000
BRAF_GOF	BRAF	ZEB2	0.299	0.084	0.214	0.000
BRAF_GOF	CRTC3	MITF	0.310	0.117	0.193	0.000
BRAF_GOF	CRTC3	SOX10	0.339	0.125	0.213	0.000
BRAF_GOF	CRTC3	TFAP2A	0.327	0.189	0.138	0.000
BRAF_GOF	DNAJC13	MTMR6	0.338	0.220	0.118	0.000
BRAF_GOF	DUSP10	DUSP4	0.260	0.136	0.124	0.000
BRAF_GOF	DUSP4	LCMT1	0.291	0.120	0.172	0.000
BRAF_GOF	DUSP4	MAPK1	0.328	0.029	0.299	0.000
BRAF_GOF	DUSP4	MITF	0.396	0.064	0.333	0.000
BRAF_GOF	DUSP4	NFATC2	0.270	0.054	0.216	0.000
BRAF_GOF	DUSP4	PEA15	0.403	0.121	0.283	0.000
BRAF_GOF	DUSP4	SOX10	0.526	0.159	0.367	0.000
BRAF_GOF	DUSP4	SOX9	0.356	0.160	0.195	0.000
BRAF_GOF	DUSP4	TFAP2A	0.268	0.086	0.181	0.000
BRAF_GOF	ELOA	MITF	0.291	0.132	0.159	0.000
BRAF_GOF	ELOA	SOX10	0.267	0.045	0.222	0.000
BRAF_GOF	ELOA	ZEB2	0.256	0.153	0.103	0.000
BRAF_GOF	GPR3	MITF	0.248	0.143	0.104	0.000
BRAF_GOF	LCMT1	SOX10	0.248	0.049	0.199	0.000
BRAF_GOF	LIF	SLC39A1	0.376	0.250	0.126	0.000
BRAF_GOF	MAP2K2	MAPK1	0.366	0.224	0.142	0.000
BRAF_GOF	MAPK1	MDM2	0.258	0.090	0.168	0.000
BRAF_GOF	MAPK1	MITF	0.368	0.133	0.235	0.000
BRAF_GOF	MAPK1	NFATC2	0.300	0.130	0.170	0.000
BRAF_GOF	MAPK1	PPP2R2A	0.262	0.094	0.169	0.000
BRAF_GOF	MAPK1	RAF1	0.263	0.467	-0.204	0.000
BRAF_GOF	MAPK1	SHOC2	0.205	0.475	-0.270	0.000
BRAF_GOF	MAPK1	SOX10	0.456	0.143	0.313	0.000
BRAF_GOF	MAPK1	SOX9	0.294	0.140	0.155	0.000
BRAF_GOF	MDM2	SOX10	0.296	0.156	0.140	0.000
BRAF_GOF	MITF	MTMR6	0.253	0.081	0.173	0.000
BRAF_GOF	MITF	NFATC2	0.298	0.068	0.229	0.000
BRAF_GOF	MITF	PAX3	0.249	0.088	0.161	0.000
BRAF_GOF	MITF	PPP2R2A	0.248	0.081	0.167	0.000
BRAF_GOF	MITF	RASA4B	0.261	0.140	0.121	0.000
BRAF_GOF	MITF	SOX10	0.578	0.389	0.189	0.000
BRAF_GOF	MITF	SOX9	0.263	0.116	0.147	0.000
BRAF_GOF	MITF	TFAP2A	0.429	0.250	0.179	0.000
BRAF_GOF	MITF	ZEB2	0.261	0.057	0.203	0.000
BRAF_GOF	NFATC2	SOX10	0.300	0.129	0.171	0.000
BRAF_GOF	PEA15	SOX10	0.337	0.083	0.255	0.000
BRAF_GOF	PPM1G	SOX10	0.259	0.063	0.196	0.000
BRAF_GOF	PPP2R2A	SOX10	0.299	0.096	0.203	0.000
BRAF_GOF	SLC39A1	SOX10	0.254	0.086	0.168	0.000
BRAF_GOF	SOX10	SOX9	0.458	0.318	0.140	0.000
BRAF_GOF	SOX10	TFAP2A	0.414	0.254	0.160	0.000
BRAF_GOF	SOX10	ZEB2	0.266	0.053	0.213	0.000
BRCA2_LOF	ANKRD34A	CIBAR1	0.269	0.165	0.104	0.001
BRCA2_LOF	ENPP6	LAIR1	0.271	0.169	0.102	0.002
BTBD7_LOF	AK9	PURB	0.276	0.166	0.110	0.000
BTBD7_LOF	AK9	VWA5B2	0.263	0.150	0.113	0.000
BTBD7_LOF	PTGES2	PURB	0.248	0.145	0.103	0.002
CCDC160_LOF	ADAMTSL3	FLT1	0.303	0.196	0.106	0.000
CCDC160_LOF	ARHGEF38	ZNF419	0.253	0.098	0.155	0.001
CCDC160_LOF	CDH22	ZNF419	0.265	0.150	0.115	0.000
CCDC160_LOF	CRAT	ZNF419	0.252	0.114	0.138	0.000
CCDC160_LOF	DCST2	HNRNPDL	0.248	0.138	0.110	0.002
CCDC160_LOF	DCST2	PCDHB2	0.256	0.128	0.129	0.002
CCDC160_LOF	KCNK4	SLC17A3	0.267	0.159	0.108	0.001
CCDC160_LOF	RHOB	TFAP2C	0.271	0.134	0.137	0.001
CCDC160_LOF	RTN4RL2	TSGA10	0.307	0.180	0.127	0.000
CCDC160_LOF	SLC17A3	TSGA10	0.272	0.172	0.100	0.001
CCDC160_LOF	ZNF419	ZNF770	0.280	0.171	0.109	0.001
CEP164_LOF	CASP14	MPL	0.291	0.185	0.107	0.000
CEP164_LOF	GFI1B	MPL	0.351	0.166	0.184	0.000
CEP164_LOF	MAF	SLC38A5	0.275	0.165	0.109	0.000
CEP164_LOF	MPL	TMEM125	0.141	0.259	-0.118	0.000
CHD9_LOF	BATF3	IKZF1	0.352	0.249	0.103	0.002
CIC_LOF	ARL16	GOLGA5	0.253	0.152	0.100	0.001
CIC_LOF	ARL16	NFKBID	0.275	0.160	0.115	0.000
CIC_LOF	ATP11A	OR2K2	0.298	0.160	0.138	0.001
CIC_LOF	CDON	GHR	0.273	0.163	0.110	0.001
CIC_LOF	CYP4B1	OR2K2	0.266	0.127	0.139	0.002
CIC_LOF	EIF4A2	LMNTD2	0.259	0.158	0.101	0.002
CIC_LOF	FTHL17	SUCLA2	0.262	0.159	0.103	0.000
CIC_LOF	GOLGA5	SLC22A2	0.257	0.156	0.101	0.000
CIC_LOF	KIAA0586	MAT2B	0.273	0.151	0.122	0.001
CIC_LOF	KIAA0586	NFKBID	0.294	0.181	0.113	0.002
CIC_LOF	KIAA0586	TYMP	0.259	0.157	0.102	0.000
CIC_LOF	LCTL	NFKBID	0.272	0.160	0.112	0.001
CIC_LOF	LMNB2	ST3GAL4	0.266	0.052	0.214	0.001
CIC_LOF	LMNTD2	NFKBID	0.282	0.170	0.112	0.001
CIC_LOF	MAT2B	USP13	0.292	0.183	0.108	0.000
CIC_LOF	NFKBID	RNF34	0.364	0.263	0.101	0.002
CIC_LOF	NFKBID	SPINK9	0.254	0.149	0.106	0.000
CIC_LOF	TBXA2R	ZNF469	0.271	0.167	0.104	0.002
CML	ABL1	BCR	0.602	0.099	0.504	0.000
CML	ABL1	GAB2	0.313	-0.005	0.318	0.000
CML	ABL1	GATA1	0.269	0.005	0.264	0.000
CML	ABL1	LMO2	0.281	-0.018	0.299	0.000
CML	ABL1	QRFP	0.315	0.141	0.175	0.000
CML	ABL1	SOS1	0.295	-0.054	0.350	0.000
CML	ABL1	STAT5B	0.405	0.004	0.401	0.000
CML	ABL1	ZFPM1	0.349	0.095	0.254	0.000
CML	BCR	GAB2	0.365	-0.001	0.366	0.000
CML	BCR	GATA1	0.293	-0.009	0.302	0.000
CML	BCR	LDB1	0.293	0.078	0.215	0.000
CML	BCR	LMO2	0.375	0.078	0.297	0.000
CML	BCR	MYB	0.313	0.141	0.172	0.000
CML	BCR	QRFP	0.325	0.108	0.217	0.000
CML	BCR	SOS1	0.373	0.020	0.353	0.000
CML	BCR	STAT5B	0.487	0.099	0.388	0.000
CML	BCR	TMEM189	0.283	0.169	0.113	0.000
CML	BCR	ZFPM1	0.312	0.046	0.267	0.000
CML	GAB2	LMO2	0.284	0.114	0.170	0.000
CML	GAB2	SOS1	0.367	0.201	0.166	0.000
CML	GAB2	STAT5B	0.361	0.156	0.205	0.000
CML	GATA1	ZFPM1	0.272	0.152	0.120	0.000
CML	LMO2	SOS1	0.350	0.195	0.155	0.000
CML	LMO2	STAT5B	0.347	0.155	0.192	0.000
CML	LMO2	ZFPM1	0.287	0.160	0.127	0.000
CML	MYB	STAT5B	0.341	0.228	0.112	0.000
CML	SOS1	STAT5B	0.342	0.130	0.212	0.000
CML	SOS1	ZFPM1	0.286	0.148	0.138	0.000
CML	STAT5B	ZFPM1	0.313	0.129	0.184	0.000
CRTC1_LOF	CYRIA	LDAH	0.248	0.146	0.101	0.001
CRTC1_LOF	MYOD1	SOX8	0.291	0.150	0.141	0.001
CUX1_LOF	CELF2	MARCHF9	0.297	0.189	0.109	0.001
CUX1_LOF	CERCAM	MARCHF9	0.286	0.173	0.113	0.000
CUX1_LOF	CRACR2B	KBTBD6	0.249	0.140	0.109	0.000
CUX1_LOF	CRACR2B	MTURN	0.256	0.140	0.116	0.000
CUX1_LOF	CRACR2B	TTC33	0.273	0.172	0.100	0.000
CUX1_LOF	CRACR2B	TYMP	0.285	0.169	0.116	0.001
CUX1_LOF	DPYD	MARCHF9	0.248	0.114	0.134	0.000
CUX1_LOF	DPYD	PACSIN1	0.281	0.158	0.122	0.000
CUX1_LOF	MARCHF9	MTURN	0.286	0.176	0.109	0.000
CUX1_LOF	MARCHF9	PACSIN1	0.252	0.150	0.102	0.001
DMD_LOF	AKNAD1	MAT2B	0.250	0.093	0.157	0.002
DMD_LOF	ARL16	NICN1	0.329	0.223	0.106	0.000
DMD_LOF	CDON	SERPING1	0.289	0.178	0.111	0.001
DMD_LOF	CFAP161	ZNF597	0.297	0.101	0.196	0.002
DMD_LOF	CYP7B1	NICN1	0.278	0.136	0.141	0.001
DMD_LOF	EIF4A2	GOLIM4	0.254	0.090	0.163	0.001
DMD_LOF	FAM135B	GOLIM4	0.265	0.115	0.151	0.001
DMD_LOF	GOLIM4	LMNB2	0.258	0.041	0.217	0.002
DMD_LOF	GOLIM4	TBXA2R	0.254	0.046	0.208	0.000
DMD_LOF	KIAA0586	MAT2B	0.273	0.144	0.129	0.001
DMD_LOF	LYZ	MAT2B	0.300	0.196	0.104	0.002
DNAJB4_LOF	SMIM12	TMEM35B	0.289	0.130	0.160	0.002
DSP_LOF	AKIP1	GSTK1	0.268	0.162	0.107	0.002
DSP_LOF	AKIP1	ZNF69	0.279	0.162	0.117	0.000
EFCAB13_LOF	PREX1	RLN2	0.285	0.184	0.101	0.002
EGFR_GOF	ADTRP	TMEM170B	0.354	0.107	0.246	0.000
ENTPD2_LOF	ABCA5	MBOAT2	0.329	0.222	0.107	0.002
ENTPD2_LOF	ABCA5	NHLRC3	0.306	0.197	0.109	0.002
ENTPD2_LOF	ABCA5	PRSS8	0.276	0.149	0.126	0.001
ENTPD2_LOF	ABCA5	SERPINB7	0.257	0.137	0.120	0.001
ENTPD2_LOF	ABCA5	TCTN2	0.327	0.202	0.125	0.000
ENTPD2_LOF	ADGRF3	TMEM210	0.256	0.123	0.133	0.002
ENTPD2_LOF	AMPD2	TMEM154	0.249	0.121	0.129	0.001
ENTPD2_LOF	BBS12	CYP21A2	0.249	0.112	0.137	0.002
ENTPD2_LOF	CCL21	TMEM210	0.260	0.133	0.127	0.002
ENTPD2_LOF	CIB2	TYW5	0.250	0.146	0.105	0.001
ENTPD2_LOF	EFNA2	RPRML	0.269	0.151	0.118	0.002
ENTPD2_LOF	FGF22	RPRML	0.263	0.144	0.119	0.002
ENTPD2_LOF	HELB	LMBRD1	0.303	0.193	0.110	0.000
ENTPD2_LOF	HELB	PRSS8	0.335	0.224	0.111	0.002
ENTPD2_LOF	LMBRD1	NHLRC3	0.260	0.156	0.104	0.000
ENTPD2_LOF	LRRC4	ZNF439	0.261	0.155	0.105	0.000
ENTPD2_LOF	PRSS8	TCTN2	0.313	0.202	0.111	0.002
ENTPD2_LOF	PTPN3	TMEM154	0.260	0.153	0.107	0.001
ENTPD2_LOF	SERPINB7	TMEM210	0.267	0.147	0.120	0.000
EP300_LOF	ABCB6	RGCC	0.259	0.096	0.163	0.000
EP300_LOF	ABCB6	SMIM29	0.275	0.147	0.128	0.001
EP300_LOF	BMP7	ZNF831	0.377	0.252	0.125	0.002
EP300_LOF	C17orf58	SNX33	0.270	0.170	0.100	0.000
